对话ID,对话任务id,对话类型,说话人,对话文本,对话文本2,条件,跳转,表情,背景变化,获得道具
1,,普通,Citizen,I'm the one you’re looking for.,,,2,Citizen.Shocked,,Item acquired: Rat Poison

2,,选项,河马,"Who are you, really?",,,5,河马.Calm,,
3,,选项,河马,"Why are you here?",,,6,河马.Calm,,
4,,选项,河马,Pressure him to talk.,Lean in and speak coldly.,,7,河马.Angry,,

5,1001,普通,Citizen,I… I'm just a messenger.,,,9,Citizen.Nervous,,
6,,普通,Citizen,I was told to wait here. That's all.,,,9,Citizen.Anxious,,
7,,普通,Citizen,Alright! I’ll talk—just don’t hurt me.,,,9,Citizen.Scared,,

9,,普通,旁白,He glances at the drain cover and swallows hard.,,,10,旁白.Tense,,
10,,选项,河马,"Show me what you're hiding.",,,11,河马.Determined,,
11,,选项,河马,Threaten him with the poison.,Rattle the bottle in your hand.,Has "Rat Poison",12,河马.Angry,,
12,,选项,河马,"Fine. I’ll leave—unless you stop me.",,,14,河马.Calm,,

13,,普通,旁白,You find a damp note tucked inside his coat: a sewer map.,,,20,,,Item acquired: Sewer Map
14,,普通,Citizen,Wait—don’t go! It’s… it’s in the sewers.,,,20,Citizen.Panicked,,

11,,普通,旁白,His eyes lock on the bottle. He panics and blurts out the truth.,,,13,旁白.Tense,,
12,,普通,Citizen,Why are you carrying rat poison?,,,15,Citizen.Confused,,
15,,普通,河马,To clear the infestation. Now talk.,,,16,河马.Calm,,
16,,普通,旁白,The bottle is empty now—used up.,,,13,,,Rat Poison consumed

20,,选项,河马,Head to the sewer entrance.,Follow the map immediately.,Has "Sewer Map",24,河马.Determined,Sewer.Entrance,
21,,选项,河马,"Ask one more question: what's down there?",,,22,河马.Calm,Street.Outside,
22,,普通,Citizen,Something that hates light… and hates noise.,,,20,Citizen.Worried,,
23,,选项,河马,End the investigation.,Call it for now.,,34,河马.Calm,,

24,,普通,旁白,Cold air rushes up as you step into the sewer.,,,25,,Sewer.Cold,
25,,普通,Citizen,Be careful down there. Something lives in the dark.,,,30,Citizen.Worried,,

30,,选项,河马,"Move slowly and listen.",,,33,河马.Hesitant,,
31,,选项,河马,Light a torch.,Old-school light, wide and warm.,,40,河马.Action,,Item acquired: Torch
32,,选项,河马,Switch on the flashlight.,A sharp beam cuts through the gloom.,,41,河马.Action,,Item acquired: Flashlight

33,,普通,旁白,You hold your breath. Dripping water becomes a rhythm… then stops.,,,30,,Sewer.PitchBlack,

40,,普通,旁白,The torch reveals wet brickwork; shadows crawl along the walls.,,,50,,Sewer.Dim,
41,,普通,旁白,The flashlight snaps on; dust spins in the pale beam.,,,50,,Sewer.Bright,

50,,普通,Citizen,I saw something moving… It wasn’t a rat.,,,34,Citizen.Terrified,,
34,,结束,,,,,,,,
